,match_id,times,gold_t_0,gold_t_1,gold_t_2,gold_t_3,gold_t_4,gold_t_128,gold_t_129,gold_t_130,gold_t_131,gold_t_132
0,0,900,3324,5444,2869,5764,5910,4097,3736,6534,1767,6470
1,1,900,3184,7849,4041,5659,5400,8051,5234,3480,4825,4736
2,2,900,3748,4542,5438,4138,2417,5547,3661,4698,3128,2214
3,3,900,3687,5598,3915,3142,5100,3864,4573,2650,2041,5850
4,4,900,7099,7001,3973,2559,5559,2987,3198,4171,5576,3292
5,5,900,5481,2614,6517,7168,4158,5301,3874,3323,2467,5662
6,6,900,2800,7106,4701,6213,3991,3339,5057,4268,4168,6570
7,7,900,5937,6464,3782,3620,6300,5232,3111,2653,4827,2804
8,8,900,5148,4350,3116,5257,2460,4424,4556,5783,4832,2405
9,9,900,2424,2267,5090,2557,4326,3971,2495,3220,2462,3024
10,10,900,3583,2243,9706,5479,3896,3975,2571,5776,3188,2596
11,11,900,5373,2700,1904,4808,3208,4739,6064,5475,4130,4316
12,12,900,5830,7670,2698,2915,5814,3154,5401,4867,2410,2429
13,13,900,3518,4259,4370,3695,3247,4412,6492,4405,3789,6241
14,14,900,3225,5645,9707,4145,5670,4463,2121,2958,3458,2453
15,15,900,3851,5714,4437,4481,6785,4367,3845,3798,3883,4951
16,16,900,4127,3151,4425,5283,4047,6165,4112,2877,4899,3352
17,17,900,3798,4294,2720,4598,4765,2449,3286,3352,3525,4401
18,18,900,3547,1990,5468,4714,7258,8463,2522,5978,3229,6387
19,19,900,2974,6772,2862,8811,4857,2128,7106,2792,6681,2535
20,20,900,3726,7576,4414,2987,2759,5161,2235,5670,4399,5452
21,21,900,3960,2154,4003,3505,5962,4370,3616,4216,3334,6091
22,22,900,3695,3727,4485,5190,5901,4884,5000,2505,5009,3696
23,23,900,4489,5203,3661,5278,2885,6134,5436,4620,4423,5407
24,24,900,2775,5047,3615,4398,3146,5001,2417,4477,4048,2834
25,25,900,5065,4714,4178,2854,4652,2652,6765,3606,1972,4815
26,26,900,3038,4939,5209,5595,6903,5037,5244,2623,3472,3346
27,27,900,2881,5739,3983,4506,4954,5949,6821,4676,6401,4322
28,28,900,2521,6474,2905,6158,4573,5155,3280,2136,4258,4295
29,29,900,5471,4871,3881,4519,5064,3468,2379,3577,5958,4518
30,30,900,4192,3522,5980,3569,4406,3657,3122,4680,5052,3475
31,31,900,4617,3758,5490,3954,3417,5557,3879,5381,3673,4087
32,32,900,3206,6195,1890,5815,4437,3904,3283,7540,2103,2767
33,33,900,5468,3067,4930,3066,7809,2688,2074,4073,3401,5734
34,34,900,2788,2792,2820,6903,6888,3739,5356,2409,7830,2762
35,35,900,3342,5803,4838,2258,1757,3015,6442,5792,6019,2760
36,36,900,2452,6504,6127,2567,3836,2466,5062,2323,4754,4511
37,37,900,3407,5163,4873,5250,3561,3331,4431,5532,3238,4649
38,38,900,4410,3599,4942,4854,3595,3798,2612,4419,4484,2560
39,39,900,3307,3646,5351,5510,4991,2944,5391,4192,4011,4545
40,40,900,2920,3879,3172,5328,2161,5701,2040,5553,3137,5995
